Feature ID,Test case ID,Test Description,Test Steps,Expected Result,Actual Result,Status,Tester,Tested Date,Remark
UC01,TC001,Cập nhật họ tên hợp lệ với ký tự tiếng Việt,"1. Đăng nhập OrangeHRM bằng tài khoản Employee
2. Vào My Info menu
3. Chọn tab Personal Details
4. Nhập First Name: ""Văn""
5. Nhập Middle Name: ""A""
6. Nhập Last Name: ""Nguyễn""
7. Click Save","Thông tin nhân viên được cập nhật thành công, hiển thị thông báo ""Successfully Updated""","Thông tin nhân viên được cập nhật thành công, hiển thị thông báo ""Successfully Updated""",Pass,Trương Lê Anh Vũ,20/12/2025,Domain: Valid partition - Normal Vietnamese name
UC01,TC002,Cập nhật First Name rỗng (boundary),"1. Đăng nhập OrangeHRM bằng tài khoản Employee
2. Vào My Info menu
3. Chọn tab Personal Details
4. Xóa trống First Name
5. Nhập Last Name: ""Nguyễn""
6. Click Save","Hiển thị thông báo lỗi ""Required""","Hiển thị thông báo lỗi ""Required""",Pass,Trương Lê Anh Vũ,20/12/2025,Domain: Invalid partition - Empty required field
UC01,TC003,Cập nhật First Name với 1 ký tự (lower boundary),"1. Đăng nhập OrangeHRM bằng tài khoản Employee
2. Vào My Info menu
3. Chọn tab Personal Details
4. Nhập First Name: ""A""
5. Nhập Last Name: ""Nguyễn""
6. Click Save",Thông tin nhân viên được cập nhật thành công,Thông tin nhân viên được cập nhật thành công,Pass,Trương Lê Anh Vũ,20/12/2025,Domain: Valid boundary - Minimum length (1 character)
UC01,TC004,Cập nhật First Name với 30 ký tự (upper boundary),"1. Đăng nhập OrangeHRM bằng tài khoản Employee
2. Vào My Info menu
3. Chọn tab Personal Details
4. Nhập First Name: ""AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA""
5. Nhập Last Name: ""Nguyễn""
6. Click Save",Thông tin nhân viên được cập nhật thành công,Thông tin nhân viên được cập nhật thành công,Pass,Trương Lê Anh Vũ,20/12/2025,Domain: Valid boundary - Maximum allowed length
UC01,TC005,Cập nhật First Name vượt quá 30 ký tự,"1. Đăng nhập OrangeHRM bằng tài khoản Employee
2. Vào My Info menu
3. Chọn tab Personal Details
4. Nhập First Name: ""AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA""
5. Nhập Last Name: ""Nguyễn""
6. Click Save","Hiển thị thông báo lỗi ""Should not exceed 30 characters""",Hệ thống chấp nhận 31 ký tự và hiển thị đầy đủ,Fail,Trương Lê Anh Vũ,20/12/2025,Domain: Invalid partition - Exceeds maximum length
UC01,TC006,Cập nhật First Name chứa số,"1. Đăng nhập OrangeHRM bằng tài khoản Employee
2. Vào My Info menu
3. Chọn tab Personal Details
4. Nhập First Name: ""Văn123""
5. Nhập Last Name: ""Nguyễn""
6. Click Save",Hiển thị thông báo lỗi về ký tự không hợp lệ,"Hệ thống chấp nhận và lưu tên có chứa số, không hiển thị lỗi",Fail,Trương Lê Anh Vũ,20/12/2025,Domain: Invalid partition - Numbers not allowed
UC01,TC007,Cập nhật First Name chứa ký tự đặc biệt,"1. Đăng nhập OrangeHRM bằng tài khoản Employee
2. Vào My Info menu
3. Chọn tab Personal Details
4. Nhập First Name: ""Văn@#$""
5. Nhập Last Name: ""Nguyễn""
6. Click Save",Hiển thị thông báo lỗi về ký tự không hợp lệ,"Hệ thống chấp nhận ký tự đặc biệt @#$ trong tên, không có validation",Fail,Trương Lê Anh Vũ,20/12/2025,Domain: Invalid partition - Special characters not allowed
UC01,TC008,Cập nhật Last Name rỗng (boundary),"1. Đăng nhập OrangeHRM bằng tài khoản Employee
2. Vào My Info menu
3. Chọn tab Personal Details
4. Nhập First Name: ""Văn""
5. Xóa trống Last Name
6. Click Save","Hiển thị thông báo lỗi ""Required""","Hiển thị thông báo lỗi ""Required""",Pass,Trương Lê Anh Vũ,20/12/2025,Domain: Invalid partition - Empty required field
UC01,TC009,Cập nhật Middle Name tùy chọn (optional field),"1. Đăng nhập OrangeHRM bằng tài khoản Employee
2. Vào My Info menu
3. Chọn tab Personal Details
4. Nhập First Name: ""Văn""
5. Để trống Middle Name
6. Nhập Last Name: ""Nguyễn""
7. Click Save",Thông tin nhân viên được cập nhật thành công (Middle Name là optional),Thông tin nhân viên được cập nhật thành công (Middle Name là optional),Pass,Trương Lê Anh Vũ,20/12/2025,Domain: Valid partition - Optional field can be empty
UC01,TC010,Kiểm tra Employee ID hợp lệ (4 chữ số),"1. Đăng nhập OrangeHRM
2. Vào PIM > Employee List
3. Chọn nhân viên
4. Kiểm tra Employee ID: ""0001""",Employee ID hiển thị đúng định dạng 4 chữ số,Employee ID hiển thị đúng định dạng 4 chữ số,Pass,Trương Lê Anh Vũ,20/12/2025,Domain: Valid partition - Standard format
UC01,TC011,Kiểm tra Employee ID chỉ đọc (read-only),"1. Đăng nhập OrangeHRM
2. Vào PIM > Employee List
3. Chọn nhân viên
4. Thử sửa Employee ID",Trường Employee ID không cho phép chỉnh sửa (read-only hoặc disabled),Trường Employee ID không cho phép chỉnh sửa (read-only hoặc disabled),Pass,Trương Lê Anh Vũ,20/12/2025,Domain: Constraint check - Should be read-only
UC01,TC012,Cập nhật Other ID với giá trị hợp lệ,"1. Đăng nhập OrangeHRM
2. Vào PIM > Employee List
3. Chọn nhân viên
4. Nhập Other ID: ""CMND123456""
5. Click Save",Other ID được cập nhật thành công,Other ID được cập nhật thành công,Pass,Trương Lê Anh Vũ,20/12/2025,Domain: Valid partition - Alphanumeric value
UC01,TC013,Để trống Other ID (optional field),"1. Đăng nhập OrangeHRM
2. Vào PIM > Employee List
3. Chọn nhân viên
4. Để trống Other ID
5. Click Save","Cập nhật thành công, Other ID có thể để trống","Cập nhật thành công, Other ID có thể để trống",Pass,Trương Lê Anh Vũ,20/12/2025,Domain: Valid partition - Optional field
UC01,TC014,Cập nhật Other ID vượt quá độ dài cho phép,"1. Đăng nhập OrangeHRM
2. Vào PIM > Employee List
3. Chọn nhân viên
4. Nhập Other ID: ""AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA""
5. Click Save",Hiển thị thông báo lỗi về độ dài tối đa,Hệ thống chấp nhận Other ID quá dài,Fail,Trương Lê Anh Vũ,20/12/2025,Domain: Invalid partition - Exceeds max length
UC01,TC015,Cập nhật License Number và Expiry Date hợp lệ,"1. Đăng nhập OrangeHRM
2. Vào PIM > Employee List
3. Chọn nhân viên
4. Nhập Driver's License Number: ""B2-123456""
5. Chọn License Expiry Date: ""2026-12-31""
6. Click Save",Thông tin giấy phép lái xe được cập nhật thành công,Thông tin giấy phép lái xe được cập nhật thành công,Pass,Trương Lê Anh Vũ,20/12/2025,Domain: Valid partition - Future expiry date
UC01,TC016,Cập nhật License với ngày hết hạn trong quá khứ,"1. Đăng nhập OrangeHRM
2. Vào PIM > Employee List
3. Chọn nhân viên
4. Nhập Driver's License Number: ""B2-123456""
5. Chọn License Expiry Date: ""2020-01-01""
6. Click Save",Có thể lưu (warning) hoặc hiển thị thông báo về ngày đã hết hạn,"Hệ thống lưu thành công nhưng không hiển thị warning về giấy phép đã hết hạn",Fail,Trương Lê Anh Vũ,20/12/2025,Domain: Boundary - Past date (expired license)
UC01,TC017,Cập nhật License Expiry Date = ngày hiện tại (boundary),"1. Đăng nhập OrangeHRM
2. Vào PIM > Employee List
3. Chọn nhân viên
4. Nhập Driver's License Number: ""B2-123456""
5. Chọn License Expiry Date = ngày hôm nay
6. Click Save",Thông tin được cập nhật thành công (ngày hiện tại là valid),Thông tin được cập nhật thành công (ngày hiện tại là valid),Pass,Trương Lê Anh Vũ,20/12/2025,Domain: Boundary - Today's date
UC01,TC018,Để trống cả License Number và Expiry Date,"1. Đăng nhập OrangeHRM
2. Vào PIM > Employee List
3. Chọn nhân viên
4. Để trống Driver's License Number
5. Để trống License Expiry Date
6. Click Save",Cập nhật thành công (cả 2 trường đều optional),Cập nhật thành công (cả 2 trường đều optional),Pass,Trương Lê Anh Vũ,20/12/2025,Domain: Valid partition - Both fields optional
UC01,TC019,Nhập License Number nhưng không có Expiry Date,"1. Đăng nhập OrangeHRM
2. Vào PIM > Employee List
3. Chọn nhân viên
4. Nhập Driver's License Number: ""B2-123456""
5. Để trống License Expiry Date
6. Click Save",Cập nhật thành công hoặc yêu cầu nhập Expiry Date (tùy business rule),Cập nhật thành công hoặc yêu cầu nhập Expiry Date (tùy business rule),Pass,Trương Lê Anh Vũ,20/12/2025,Domain: Dependency check - License without expiry
UC01,TC020,Chọn Nationality hợp lệ từ dropdown,"1. Đăng nhập OrangeHRM
2. Vào PIM > Employee List
3. Chọn nhân viên
4. Click dropdown Nationality
5. Chọn ""Vietnamese""
6. Click Save",Nationality được cập nhật thành công,Nationality được cập nhật thành công,Pass,Trương Lê Anh Vũ,20/12/2025,Domain: Valid partition - Valid dropdown selection
